Company name,Symbol,Sector,Date added
Adani Enterprises,ADANIENT,Metals & Mining,30-Sep-22
Adani Ports & SEZ,ADANIPORTS,Services,28-Sep-15
Apollo Hospitals,APOLLOHOSP,Healthcare,31-Mar-22
Asian Paints,ASIANPAINT,Consumer Durables,27-Apr-12
Axis Bank,AXISBANK,Financial Services,27-Mar-09
Bajaj Auto,BAJAJ-AUTO,Automobile and Auto Components,01-Oct-10
Bajaj Finance,BAJFINANCE,Financial Services,29-Sep-17
Bajaj Finserv,BAJAJFINSV,Financial Services,02-Apr-18
Bharat Petroleum,BPCL,Oil Gas & Consumable Fuels,28-Oct-02
Bharti Airtel,BHARTIARTL,Telecommunication,01-Mar-04
Britannia Industries,BRITANNIA,Fast Moving Consumer Goods,29-Mar-19
Cipla,CIPLA,Healthcare,07-Oct-98
Coal India,COALINDIA,Oil Gas & Consumable Fuels,10-Oct-11
Divi's Laboratories,DIVISLAB,Healthcare,25-Sep-20
Dr. Reddy's Laboratories,DRREDDY,Healthcare,01-Oct-10
Eicher Motors,EICHERMOT,Automobile and Auto Components,01-Apr-16
Grasim Industries,GRASIM,Construction Materials,02-Apr-18
HCLTech,HCLTECH,Information Technology,28-Oct-02
HDFC Bank,HDFCBANK,Financial Services,22-Apr-96
HDFC Life,HDFCLIFE,Financial Services,31-Jul-20
Hero MotoCorp,HEROMOTOCO,Automobile and Auto Components,07-Oct-98
Hindalco Industries,HINDALCO,Metals & Mining,22-Apr-96
Hindustan Unilever,HINDUNILVR,Fast Moving Consumer Goods,22-Apr-96
ICICI Bank,ICICIBANK,Financial Services,25-Jan-02
IndusInd Bank,INDUSINDBK,Financial Services,01-Apr-13
Infosys,INFY,Information Technology,07-Oct-98
ITC,ITC,Fast Moving Consumer Goods,22-Apr-96
JSW Steel,JSWSTEEL,Metals & Mining,28-Sep-18
Kotak Mahindra Bank,KOTAKBANK,Financial Services,08-Apr-10
Larsen & Toubro,LT,Information Technology,10-Dec-04
LTIMindtree,LTIM,Construction,13-Jul-23
Mahindra & Mahindra,M&M,Automobile and Auto Components,18-Sep-96
Maruti Suzuki,MARUTI,Automobile and Auto Components,01-Mar-04
Nestlé India,NESTLEIND,Fast Moving Consumer Goods,27-Sep-19
NTPC,NTPC,Power,24-Sep-07
Oil and Natural Gas Corporation,ONGC,Oil Gas & Consumable Fuels,12-Apr-04
Power Grid,POWERGRID,Power,14-Mar-08
Reliance Industries,RELIANCE,Oil Gas & Consumable Fuels,22-Apr-96
SBI Life Insurance Company,SBILIFE,Financial Services,25-Sep-20
Shriram Finance,SHRIRAMFIN,Financial Services,28-Mar-24
State Bank of India,SBIN,Financial Services,22-Apr-96
Sun Pharma,SUNPHARMA,Healthcare,17-Jan-02
Tata Consultancy Services,TCS,Information Technology,25-Feb-05
Tata Consumer Products,TATACONSUM,Fast Moving Consumer Goods,31-Mar-21
Tata Motors,TATAMOTORS,Automobile and Auto Components,22-Apr-96
Tata Steel,TATASTEEL,Metals & Mining,22-Apr-96
Tech Mahindra,TECHM,Information Technology,28-Mar-14
Titan Company,TITAN,Consumer Durables,02-Apr-18
UltraTech Cement,ULTRACEMCO,Construction Materials,28-Sep-12
Wipro,WIPRO,Information Technology,27-Sep-13
